500,8388.6,8388.6,12582.9,6291.5
1000,16777.2,,25165.8,25165.8
5000,19737.9,19737.9,23967.5,16777.2
10000,17660.2,12201.6,8603.7,5852.5
50000,12113.5,11413.1,14138.1,12520.3
100000,23221.1,21931.0,26987.5,24024.7
500000,13957.8,13723.7,14201.9,14869.0
1000000,13312.6,13125.1,13873.1,14319.1
5000000,12636.3,12702.3,13750.3,14150.8
10000000,12472.6,12504.9,13248.7,13797.1
15000000,12254.2,12607.0,13402.4,14033.5
20000000,12031.4,12585.0,12893.2,13417.1
25000000,12229.5,12468.5,13360.6,13629.5
30000000,12334.5,12623.9,13262.6,14172.7
35000000,12193.8,12651.7,13344.8,13893.2
40000000,11910.3,12273.9,12368.9,12834.1
45000000,12114.4,12711.0,13159.2,13705.8
50000000,11992.2,12239.9,12347.4,13248.1
55000000,12506.6,12370.8,13140.7,13346.9
60000000,11851.1,12750.3,12769.0,13081.7
65000000,12202.5,12419.9,13027.1,13287.8
70000000,11983.9,12235.4,12866.9,13672.3
75000000,11749.4,11987.5,12927.7,13348.0
80000000,11547.6,11703.6,12039.8,12558.4
85000000,11992.2,12420.1,13389.1,13764.7
90000000,12174.7,12188.2,13190.1,13486.7
95000000,11790.5,12088.2,12739.6,13426.8
100000000,11472.6,11918.6,12182.8,12453.9
